week,condition_label,value
22,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",9.0
22,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",28.0
22,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",58.0
22,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",4.0
22,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",1.0
23,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",10.0
23,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
23,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",58.0
23,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",4.0
23,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",1.0
24,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",10.0
24,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
24,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",56.0
24,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
24,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
25,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",10.0
25,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
25,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",56.0
25,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
25,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
26,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",11.0
26,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
26,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",55.0
26,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
26,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
27,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",12.0
27,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
27,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",54.0
27,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
27,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
28,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",12.0
28,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",25.0
28,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",58.0
28,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",4.0
28,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",1.0
29,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",14.0
29,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",25.0
29,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",54.0
29,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
29,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
30,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",15.0
30,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",24.0
30,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",55.0
30,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
30,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",1.0
31,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",15.0
31,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",24.0
31,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",54.0
31,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
31,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
32,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",15.0
32,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",25.0
32,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",53.0
32,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",5.0
32,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
33,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",15.0
33,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",24.0
33,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",53.0
33,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",6.0
33,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
34,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",15.0
34,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",23.0
34,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",54.0
34,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",6.0
34,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",2.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",14.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",25.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",51.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",7.0
35,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",14.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",26.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",50.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",7.0
36,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",13.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",26.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",50.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",8.0
37,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",13.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",48.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",8.0
38,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",4.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT EXCELLENT",13.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT FAIR",27.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT GOOD",49.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT POOR",8.0
39,"SOYBEANS - CONDITION, MEASURED IN PCT VERY POOR",3.0
